"Maakunta";"Rikos";"Uhrin ikä";"Vuosi";"Tiedot";"Uhri mies";"Uhri nainen"
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2014";"Uhrien lukumäärä";12;16
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2015";"Uhrien lukumäärä";6;15
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2016";"Uhrien lukumäärä";30;58
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2017";"Uhrien lukumäärä";32;40
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2018";"Uhrien lukumäärä";28;49
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2019";"Uhrien lukumäärä";39;34
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2020";"Uhrien lukumäärä";62;48
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2009";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2010";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2011";"Uhrien lukumäärä";3;3
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2012";"Uhrien lukumäärä";26;3
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2013";"Uhrien lukumäärä";1;2
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2014";"Uhrien lukumäärä";0;3
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2015";"Uhrien lukumäärä";1;4
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2016";"Uhrien lukumäärä";0;4
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2017";"Uhrien lukumäärä";1;2
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2018";"Uhrien lukumäärä";0;2
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2019";"Uhrien lukumäärä";0;10
"KOKO MAA";"Törkeä ihmiskauppa  25:3a§1/1-4";"Yhteensä";"2020";"Uhrien lukumäärä";3;10
