"Maakunta";"Rikos";"Uhrin ikä";"Vuosi";"Tiedot";"Uhri mies";"Uhri nainen"
"KOKO MAA";"Törkeä lapsen seksuaalinen hyväksikäyttö 20:7§1/1-2";"Yhteensä";"2013";"Uhrien lukumäärä";17;235
"KOKO MAA";"Törkeä lapsen seksuaalinen hyväksikäyttö 20:7§1/1-2";"Yhteensä";"2014";"Uhrien lukumäärä";9;300
"KOKO MAA";"Törkeä lapsen seksuaalinen hyväksikäyttö 20:7§1/1-2";"Yhteensä";"2015";"Uhrien lukumäärä";31;229
"KOKO MAA";"Törkeä lapsen seksuaalinen hyväksikäyttö 20:7§1/1-2";"Yhteensä";"2016";"Uhrien lukumäärä";29;240
"KOKO MAA";"Törkeä lapsen seksuaalinen hyväksikäyttö 20:7§1/1-2";"Yhteensä";"2017";"Uhrien lukumäärä";29;245
"KOKO MAA";"Törkeä lapsen seksuaalinen hyväksikäyttö 20:7§1/1-2";"Yhteensä";"2018";"Uhrien lukumäärä";45;339
"KOKO MAA";"Törkeä lapsen seksuaalinen hyväksikäyttö 20:7§1/1-2";"Yhteensä";"2019";"Uhrien lukumäärä";30;394
"KOKO MAA";"Törkeä lapsen seksuaalinen hyväksikäyttö 20:7§1/1-2";"Yhteensä";"2020";"Uhrien lukumäärä";27;323
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2009";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2010";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2011";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2012";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2013";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2014";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2015";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2016";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2017";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2018";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2019";"Uhrien lukumäärä";1;32
"KOKO MAA";"Törkeä lapsenraiskaus 20:7b";"Yhteensä";"2020";"Uhrien lukumäärä";1;65
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2009";"Uhrien lukumäärä";0;0
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2010";"Uhrien lukumäärä";0;0
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2011";"Uhrien lukumäärä";0;0
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2012";"Uhrien lukumäärä";0;0
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2013";"Uhrien lukumäärä";0;0
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2014";"Uhrien lukumäärä";2;57
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2015";"Uhrien lukumäärä";12;253
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2016";"Uhrien lukumäärä";18;497
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2017";"Uhrien lukumäärä";28;374
"KOKO MAA";"Seksuaalinen ahdistelu 20:5a§1";"Yhteensä";"2018";"Uhrien lukumäärä";39;488
